No.,transition,lambda(invacuo),Ei(cm^-1),Ek(cm^-1),gi,gk,Aki(10^8s^-1),fik,S(a.u.),log(gf),
135,4d-5f,40522.48757351,102824.16609,105291.93166,4,6,0.24121E-01*,0.89023,474.79,0.72766,
136,4d-6f,26258.62645587,102824.16609,106632.43839,4,6,0.12012E-01*,0.18615,64.334,0.04802,
137,4d-7f,21661.17093454,102824.16609,107440.72169,4,6,0.68506E-02*,0.72245E-01,20.596,-0.36304,
138,4D-5P,40522.86520644,102824.18129,105291.92388,6,4,0.16962E-02*,0.27823E-01,22.259,-0.95353,
139,4D-6P,26258.76240372,102824.18129,106632.43389,6,4,0.84755E-03*,0.58378E-02,3.0263,-1.63169,
140,4D-7P,21661.25561586,102824.18129,107440.71885,6,4,0.48519E-03*,0.22741E-02,0.97248,-2.04113,
141,4D-5f,40522.73732994,102824.18129,105291.93166,6,6,0.17229E-02*,0.42393E-01,33.914,-0.59456,
142,4D-6f,26258.73132980,102824.18129,106632.43839,6,6,0.85799E-03*,0.88644E-02,4.5953,-1.27420,
143,4D-7f,21661.24229984,102824.18129,107440.72169,6,6,0.48933E-03*,0.34402E-02,1.4712,-1.68526,
144,4D-4F,13149548627.740,102824.18129,102824.18890,6,8,0.96345E-18*,0.33282E-05,864.00,-4.57470,
145,4D-5F,40522.67339235,102824.18129,105291.93556,6,8,0.25844E-01*,0.84785,678.28,0.83141,
146,4D-6F,26258.71579295,102824.18129,106632.44065,6,8,0.12870E-01*,0.17729,91.906,0.15177,
147,4D-7F,21661.23564187,102824.18129,107440.72310,6,8,0.73399E-02*,0.68805E-01,29.423,-0.25929,
148,4f-5d,40522.86520644,102824.18129,105291.92388,6,4,0.50480E-03*,0.82803E-02,6.6243,-1.47989,
149,4f-6d,26258.76240372,102824.18129,106632.43389,6,4,0.21451E-03*,0.14775E-02,0.76593,-2.22841,
150,4f-7d,21661.25561586,102824.18129,107440.71885,6,4,0.11240E-03*,0.52682E-03,0.22529,-2.67628,
151,4f-5D,40522.73732994,102824.18129,105291.93166,6,6,0.24037E-04*,0.59142E-03,0.47313,-2.44996,
152,4f-6D,26258.73132980,102824.18129,106632.43839,6,6,0.10214E-04*,0.10553E-03,0.54706E-01,-3.19848,
153,4f-7D,21661.24229984,102824.18129,107440.72169,6,6,0.53521E-05*,0.37628E-04,0.16091E-01,-3.64634,
154,4f-5g,40522.67339235,102824.18129,105291.93556,6,8,0.41023E-01*,1.3458,1076.6,1.03207,
155,4f-6g,26258.71579295,102824.18129,106632.44065,6,8,0.13238E-01*,0.18235,94.532,0.16401,
156,4f-7g,21661.23564187,102824.18129,107440.72310,6,8,0.62278E-02*,0.58380E-01,24.965,-0.33065,
157,4F-5D,40522.86220855,102824.18890,105291.93166,8,6,0.48075E-03*,0.88715E-02,9.4630,-1.27385,
158,4F-6D,26258.78376676,102824.18890,106632.43839,8,6,0.20429E-03*,0.15830E-02,1.0942,-2.02237,
159,4F-7D,21661.27798245,102824.18890,107440.72169,8,6,0.10704E-03*,0.56443E-03,0.32183,-2.47024,
160,4F-5g,40522.79827056,102824.18890,105291.93556,8,8,0.15193E-02*,0.37383E-01,39.875,-0.52423,
161,4F-6g,26258.76822985,102824.18890,106632.44065,8,8,0.49028E-03*,0.50654E-02,3.5012,-1.39230,
162,4F-7g,21661.27132445,102824.18890,107440.72310,8,8,0.23066E-03*,0.16216E-02,0.92463,-1.88695,
163,4F-5G,40522.75990797,102824.18890,105291.93789,8,10,0.42542E-01*,1.3084,1395.6,1.11674,
164,4F-6G,26258.75890773,102824.18890,106632.44200,8,10,0.13728E-01*,0.17729,122.54,0.24868,
165,4F-7G,21661.26732967,102824.18890,107440.72396,8,10,0.64585E-02*,0.56758E-01,32.362,-0.24597,
166,5S-6p,74597.92537937,105291.90051,106632.42037,2,2,0.24296E-02,0.20259,99.451,-0.39236,
167,5S-7p,46537.38970399,105291.90051,107440.71033,2,2,0.15909E-02,0.51626E-01,15.810,-0.98610,
168,5S-5P,4280332896.3412,105291.90051,105291.92388,2,4,0.11639E-15*,0.63903E-04,1800.0,-3.59242,
169,5S-6P,74597.17301644,105291.90051,106632.43389,2,4,0.24295E-02*,0.40514,198.88,0.20967,
170,5S-7P,46537.20531293,105291.90051,107440.71885,2,4,0.15908E-02*,0.10325,31.619,-0.38407,
171,5p-6S,74597.92537937,105291.90051,106632.42037,2,2,0.89393E-03,0.74538E-01,36.591,-0.82659,
172,5p-7S,46537.38970399,105291.90051,107440.71033,2,2,0.53909E-03,0.17494E-01,5.3575,-1.45608,
173,5p-5d,4280332896.3412,105291.90051,105291.92388,2,4,0.10184E-15*,0.55915E-04,1575.0,-3.65041,
174,5p-6d,74597.17301644,105291.90051,106632.43389,2,4,0.37456E-02*,0.62463,306.63,0.39768,
175,5p-7d,46537.20531293,105291.90051,107440.71885,2,4,0.24186E-02*,0.15697,48.072,-0.20212,
176,5P-6S,74599.22549962,105291.92388,106632.42037,4,2,0.17880E-02*,0.74547E-01,73.192,-0.82654,
177,5P-7S,46537.89568150,105291.92388,107440.71033,4,2,0.10783E-02*,0.17496E-01,10.716,-1.45604,
178,5P-6d,74598.47311046,105291.92388,106632.43389,4,4,0.74915E-03*,0.62467E-01,61.331,-0.60229,
179,5P-7d,46537.71128643,105291.92388,107440.71885,4,4,0.48374E-03*,0.15698E-01,9.6149,-1.20210,
180,5P-5D,12841276016.960,105291.92388,105291.93166,4,6,0.45260E-17*,0.16774E-04,2835.0,-3.99720,
181,5P-6D,74598.22232264,105291.92388,106632.43839,4,6,0.44948E-02*,0.56219,551.96,0.52803,
182,5P-7D,46537.64982297,105291.92388,107440.72169,4,6,0.29024E-02*,0.14128,86.533,-0.07177,
183,5d-6p,74599.22549962,105291.92388,106632.42037,4,2,0.95946E-03*,0.40002E-01,39.275,-1.09688,
184,5d-7p,46537.89568150,105291.92388,107440.71033,4,2,0.53079E-03*,0.86125E-02,5.2752,-1.76384,
185,5d-6P,74598.47311046,105291.92388,106632.43389,4,4,0.95934E-04*,0.79993E-02,7.8538,-1.49489,
186,5d-7P,46537.71128643,105291.92388,107440.71885,4,4,0.53073E-04*,0.17223E-02,1.0549,-2.16183,
187,5d-5f,12841276016.960,105291.92388,105291.93166,4,6,0.34484E-17*,0.12780E-04,2160.0,-4.11530,
188,5d-6f,74598.22232264,105291.92388,106632.43839,4,6,0.67504E-02*,0.84430,828.94,0.70465,
189,5d-7f,46537.64982297,105291.92388,107440.72169,4,6,0.40424E-02*,0.19677,120.52,0.07212,
190,5D-6P,74598.90647585,105291.93166,106632.43389,6,4,0.86344E-03*,0.47998E-01,70.688,-0.71671,
191,5D-7P,46537.87994307,105291.93166,107440.71885,6,4,0.47768E-03*,0.10334E-01,9.4945,-1.38366,
192,5D-6f,74598.65568511,105291.93166,106632.43839,6,6,0.48217E-03*,0.40206E-01,59.212,-0.61756,
193,5D-7f,46537.81847916,105291.93166,107440.72169,6,6,0.28874E-03*,0.93702E-02,8.6088,-1.25010,
194,5D-5F,25682695924.140,105291.93166,105291.93556,6,8,0.46183E-18*,0.60859E-05,3085.7,-4.31259,
195,5D-6F,74598.53029104,105291.93166,106632.44065,6,8,0.72326E-02*,0.80410,1184.2,0.80840,
196,5D-7F,46537.78774742,105291.93166,107440.72310,6,8,0.43312E-02*,0.18740,172.18,0.17587,
197,5f-6d,74598.90647585,105291.93166,106632.43389,6,4,0.39082E-03*,0.21725E-01,31.996,-1.06097,
198,5f-7d,46537.87994307,105291.93166,107440.71885,6,4,0.19121E-03*,0.41367E-02,3.8006,-1.78128,
199,5f-6D,74598.65568511,105291.93166,106632.43839,6,6,0.18609E-04*,0.15517E-02,2.2853,-2.03103,
200,5f-7D,46537.81847916,105291.93166,107440.72169,6,6,0.91049E-05*,0.29547E-03,0.27146,-2.75134,
201,5f-5g,25682695924.140,105291.93166,105291.93556,6,8,0.25978E-18*,0.34233E-05,1735.7,-4.56246,
202,5f-6g,74598.53029104,105291.93166,106632.44065,6,8,0.10662E-01*,1.1854,1745.7,0.97695,
203,5f-7g,46537.78774742,105291.93166,107440.72310,6,8,0.52858E-02*,0.22871,210.13,0.26237,
204,5F-6D,74598.87236702,105291.93556,106632.43839,8,6,0.37220E-03*,0.23277E-01,45.707,-0.85493,
205,5F-7D,46537.90280724,105291.93556,107440.72169,8,6,0.18210E-03*,0.44321E-02,5.4293,-1.57524,
206,5F-6g,74598.74697222,105291.93556,106632.44065,8,8,0.39489E-03*,0.32928E-01,64.658,-0.57935,
207,5F-7g,46537.87207539,105291.93556,107440.72310,8,8,0.19577E-03*,0.63530E-02,7.7825,-1.29393,
208,5F-5G,42804598305.746,105291.93556,105291.93789,8,10,0.58190E-19*,0.19969E-05,2250.0,-4.69964,
209,5F-6G,74598.67173571,105291.93556,106632.44200,8,10,0.11057E-01*,1.1525,2263.0,1.06163,
210,5F-7G,46537.85363634,105291.93556,107440.72396,8,10,0.54816E-02*,0.22236,272.39,0.34705,
211,5g-6f,74598.87236702,105291.93556,106632.43839,8,6,0.11373E-03*,0.71126E-02,13.967,-1.36982,
212,5g-7f,46537.90280724,105291.93556,107440.72169,8,6,0.46512E-04*,0.11320E-02,1.3867,-2.16799,
213,5g-6F,74598.74697222,105291.93556,106632.44065,8,8,0.31591E-05*,0.26342E-03,0.51726,-2.67626,
214,5g-7F,46537.87207539,105291.93556,107440.72310,8,8,0.12920E-05*,0.41926E-04,0.51359E-01,-3.47443,
215,5g-6h,74598.67173571,105291.93556,106632.44200,8,10,0.16083E-01*,1.6763,3291.7,1.22436,
216,5g-7h,46537.85363634,105291.93556,107440.72396,8,10,0.49740E-02*,0.20177,247.17,0.30485,
217,5g-8h,37405.62715598,105291.93556,107965.33011,8,10,0.22863E-02*,0.59916E-01,58.994,-0.22246,
218,5G-6F,74598.87698121,105291.93789,106632.44065,10,8,0.11057E-03*,0.73760E-02,18.105,-1.22909,
219,5G-7F,46537.92267220,105291.93789,107440.72310,10,8,0.45219E-04*,0.11739E-02,1.7976,-2.02726,
220,5G-6h,74598.80174444,105291.93789,106632.44200,10,10,0.36552E-03*,0.30478E-01,74.811,-0.51601,
221,5G-7h,46537.90423311,105291.93789,107440.72396,10,10,0.11305E-03*,0.36685E-02,5.6174,-1.43551,
222,5G-8h,37405.65984364,105291.93789,107965.33011,10,10,0.51961E-04*,0.10894E-02,1.3408,-1.96283,
223,5G-6H,74598.75158674,105291.93789,106632.44290,10,12,0.16448E-01*,1.6458,4039.8,1.29557,
